Candidate_id,Candidate,Constituency,Party,Age,Gender,Criminal_Cases,Serious_Criminal_Cases,Education,Total_Assets,liabilities,category
1,M.Y.Patil,AFZALPUR,INC,82,MALE,0,No,Graduate,46932109,3323000,GENERAL
2,Bhojaraj,ALAND,INC,73,MALE,0,No,Graduate Professional,41736617,4821900,GENERAL
3,B. Shivanna,ANEKAL (SC),INC,56,MALE,1,No,Post Graduate,352472752,38941119,SC
4,Balachandra Laxmanrao Jarkiholi,ARABHAVI,BJP,56,MALE,0,No,10th Pass,356992186,1750000,GENERAL
5,A. Manju,ARAKALGUD,JD(S),66,MALE,0,No,Graduate Professional,373600436,40035568,GENERAL
6,K M Shivalingegowda,ARSIKERE,INC,65,MALE,0,No,Graduate,94299541,73608331,GENERAL
7,Laxman Sangappa Savadi,ATHANI,INC,64,MALE,1,No,12th Pass,371838123,19881050,GENERAL
8,Prabhu Chavan,AURAD (SC),BJP,53,MALE,0,No,12th Pass,108523296,5453872,SC
9,Ramalinga Reddy,B.T.M LAYOUT,INC,70,MALE,4,No,Graduate,1106776557,350847701,GENERAL
10,M B Patil,BABALESHWAR,INC,58,MALE,5,No,Graduate Professional,1413104981,472499980,GENERAL
11,B.B.Chimmanakatti,BADAMI,INC,39,MALE,0,No,Graduate Professional,57071896,27148417,GENERAL
12,Meti Hullappa Yamanappa,BAGALKOT,INC,77,MALE,0,No,8th Pass,1106776557,18995965,GENERAL
13,S.N. Subbareddy (Chinnakayalapalli),BAGEPALLI,INC,56,MALE,0,No,10th Pass,3136194537,700769159,GENERAL
14,Koujalagi Mahantesh Shivanand,BAILAHONGAL,INC,52,MALE,1,Yes,Graduate Professional,153899312,7227724,GENERAL
15,Gururaj Shetty Gantihole,BAINDUR,BJP,42,MALE,1,No,12th Pass,97541010,107551808,GENERAL
16,M Krishnappa,BANGALORE SOUTH,BJP,61,MALE,0,Yes,10th Pass,899949800,203021457,GENERAL
17,S.N. Narayanaswamy. K.M,BANGARAPET (SC),INC,55,MALE,1,Yes,Graduate,462691047,144910672,SC
18,Rajesh Naik U,BANTWAL,BJP,64,MALE,0,No,Graduate,323921952,52766588,GENERAL
19,Sharanu Salagar,BASAVAKALYAN,BJP,47,MALE,1,No,Post Graduate,46520057,4607167,GENERAL
20,Shivanand Patil,BASAVANA BAGEVADI,INC,61,MALE,0,No,Graduate,353912438,37054844,GENERAL
21,Ravi Subramanya L.A.,BASAVANAGUDI,BJP,65,MALE,1,No,Post Graduate,105246376,58185380,GENERAL
22,Abhay Patil,BELGAUM DAKSHIN,BJP,54,MALE,3,Yes,10th Pass,98349096,2955955,GENERAL
23,Laxmi R. Hebbalkar,BELGAUM RURAL,INC,48,FEMALE,3,No,Post Graduate,131840922,56869101,GENERAL
24,Asif (Raju) Sait,BELGAUM UTTAR,INC,64,MALE,0,No,12th Pass,331449445,203740,GENERAL
25,B Nagendra,BELLARY (ST),INC,52,MALE,42,Yes,Graduate,176342135,37878335,ST
26,Nara Bharath Reddy,BELLARY CITY,INC,33,MALE,2,Yes,Graduate,911821808,343786368,GENERAL
27,Harish Poonja,BELTHANGADY,BJP,41,MALE,1,Yes,Graduate Professional,32733882,11129074,GENERAL
28,H K Suresh,BELUR,BJP,52,MALE,0,No,12th Pass,4353050751,126127619,GENERAL
29,B.K. Sanagameshwara,BHADRAVATHI,INC,60,MALE,4,Yes,10th Pass,69748411,28386203,GENERAL
30,Eshwar Khandre,BHALKI,INC,61,MALE,7,Yes,Graduate Professional,87442877,5801106,GENERAL
31,Mankal Vaidya,BHATKAL,INC,51,MALE,1,No,8th Pass,642419070,361187037,GENERAL
32,Rahim Khan,BIDAR,INC,57,MALE,0,No,12th Pass,838440950,51042019,GENERAL
33,Dr. Shailendra Beldale,BIDAR SOUTH,BJP,49,MALE,1,No,Graduate Professional,44903000,25800000,GENERAL
34,Basanagouda R Patil (Yatnal),BIJAPUR CITY,BJP,60,MALE,4,Yes,Graduate,261010514,206167769,GENERAL
35,J. T. Patil,BILGI,INC,73,MALE,0,No,Graduate,38405462,47818304,GENERAL
36,Sathish Reddy .M,BOMMANAHALLI,BJP,51,MALE,0,No,10th Pass,1224981101,472438558,GENERAL
37,Basavaraj Neelappa Shivannanavar,BYADGI,INC,68,MALE,0,No,Graduate,44682045,23438029,GENERAL
38,Krishna Byregowda,BYATARAYANAPURA,INC,50,MALE,2,No,Post Graduate,167056737,9522183,GENERAL
39,S. Raghu,C.V. RAMANNNAGAR (SC),BJP,52,MALE,0,No,Graduate Professional,421036051,27585783,SC
40,T. Raghumurthy,CHALLAKERE (ST),INC,59,MALE,0,No,Graduate Professional,221827134,117543920,ST
41,K. Harish Gowda,CHAMARAJA,INC,50,MALE,0,No,12th Pass,38289960,6800000,GENERAL
42,C. Puttarangashetty,CHAMARAJANAGAR,INC,68,MALE,2,No,Graduate,141470148,27585783,GENERAL
43,B.Z.Zameer Ahmed Khan,CHAMRAJAPET,INC,55,MALE,5,Yes,8th Pass,727258460,429320915,GENERAL
44,G. T. Devegowda,CHAMUNDESHWARI,JD(S),73,MALE,0,No,8th Pass,228091473,99138842,GENERAL
45,Basavaraju V Shivaganga,CHANNAGIRI,INC,42,MALE,3,Yes,Graduate,61261704,16751320,GENERAL
46,H.D. Kumaraswamy,CHANNAPATNA,JD(S),64,MALE,5,Yes,Graduate,1892782794,766996588,GENERAL
47,H. D. Thammaiah,CHICKAMAGALUR,INC,63,MALE,0,No,12th Pass,65153339,26514557,GENERAL
48,Uday B. Garudachar,CHICKPET,BJP,38,MALE,2,Yes,Graduate Professional,2415933555,486138787,GENERAL
49,Pradeep Eshwar,CHIKKABALLAPUR,INC,52,MALE,2,Yes,12th Pass,8923859,1728204,GENERAL
50,C B Suresh Babu,CHIKKNAYAKANHALLI,JD(S),45,MALE,0,No,10th Pass,18618000,955181,GENERAL
